               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   7,            0.026489,            0.082624,           0.0013754,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0042752,           0.0042752,           0.0042752
                   8,            0.025912,            0.080743,           0.0012722,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0032327,           0.0032327,           0.0032327
                   9,            0.025296,            0.078803,           0.0012064,             0.80851,             0.75788,             0.83009,             0.60846,            0.030983,             0.12099,           0.0035601,           0.0021902,           0.0021902,           0.0021902
                   0,            0.076013,             0.18548,           0.0028229,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0038254,           0.0038254,            0.067806
                   1,            0.041412,             0.13486,           0.0018877,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0069518,           0.0069518,            0.040222
                   2,            0.036349,             0.13194,           0.0020296,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0093079,           0.0093079,            0.011867
                   3,            0.034642,             0.12691,           0.0023778,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0083868,           0.0083868,           0.0083868
                   4,            0.035058,             0.12784,           0.0024081,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0083868,           0.0083868,           0.0083868
                   5,            0.031895,             0.12231,           0.0023421,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0072057,           0.0072057,           0.0072057
                   6,            0.030317,             0.10982,           0.0022587,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0060246,           0.0060246,           0.0060246
                   7,            0.027814,             0.11263,           0.0019579,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0048436,           0.0048436,           0.0048436
                   8,            0.027128,             0.10889,           0.0019314,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0036625,           0.0036625,           0.0036625
                   9,            0.026316,             0.10549,           0.0018822,             0.81678,             0.71999,             0.79042,             0.56655,              0.0288,             0.15432,           0.0057471,           0.0024814,           0.0024814,           0.0024814
                   0,               0.141,             0.26638,            0.035811,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0040338,           0.0040338,            0.068015
                   1,             0.13338,             0.23624,            0.035155,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0073305,           0.0073305,            0.040601
                   2,             0.11572,             0.16543,            0.032786,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009815,            0.009815,            0.012374
                   3,            0.096155,             0.17791,            0.029296,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0088437,           0.0088437,           0.0088437
                   4,              0.0818,             0.16561,            0.028264,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0088437,           0.0088437,           0.0088437
                   5,            0.062477,             0.13534,            0.027507,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0075983,           0.0075983,           0.0075983
                   6,            0.056524,              0.1364,            0.026551,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0063529,           0.0063529,           0.0063529
                   7,            0.048152,             0.12329,            0.026065,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0051075,           0.0051075,           0.0051075
                   8,            0.046606,             0.11915,             0.02594,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0038621,           0.0038621,           0.0038621
                   9,            0.044929,             0.11922,            0.025452,             0.75972,             0.43282,              0.3081,             0.21585,            0.048476,             0.15576,            0.024733,           0.0026166,           0.0026166,           0.0026166
                   0,            0.077052,             0.17023,           0.0028311,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0034823,           0.0034823,            0.066899
                   1,            0.043512,             0.12217,           0.0018681,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0063283,           0.0063283,            0.039305
                   2,            0.035022,              0.1115,           0.0018281,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008473,            0.008473,             0.01101
                   3,            0.033655,             0.10831,           0.0022302,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0076346,           0.0076346,           0.0076346
                   4,             0.03282,             0.10277,           0.0022146,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0076346,           0.0076346,           0.0076346
                   5,            0.029242,             0.10261,           0.0021256,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0065594,           0.0065594,           0.0065594
                   6,            0.028187,            0.091716,           0.0020087,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0054843,           0.0054843,           0.0054843
                   7,            0.026962,            0.098206,           0.0017985,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0044092,           0.0044092,           0.0044092
                   8,            0.026431,            0.089953,           0.0018203,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.003334,            0.003334,            0.003334
                   9,            0.025841,            0.094268,           0.0016886,             0.77896,             0.76821,             0.80237,             0.57849,            0.029469,             0.14139,           0.0053585,           0.0022589,           0.0022589,           0.0022589
                   0,             0.11924,             0.22171,            0.041311,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0031752,           0.0031752,            0.072399
                   1,             0.11494,             0.19741,            0.040338,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0057701,           0.0057701,             0.04693
                   2,              0.1027,              0.1442,            0.038269,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0077258,           0.0077258,            0.020822
                   3,            0.085791,             0.11429,            0.032765,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0078314,           0.0078314,           0.0078314
                   4,            0.072007,             0.11451,            0.031359,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0078314,           0.0078314,           0.0078314
                   5,            0.057867,             0.10737,            0.030114,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0067286,           0.0067286,           0.0067286
                   6,              0.0504,             0.10262,            0.029338,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0056257,           0.0056257,           0.0056257
                   7,            0.043108,            0.093222,            0.028949,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0045228,           0.0045228,           0.0045228
                   8,            0.039007,            0.091058,            0.028711,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00342,             0.00342,             0.00342
                   9,            0.035873,            0.090734,            0.028266,             0.76103,             0.42362,             0.33867,             0.23842,            0.041401,             0.13147,             0.02744,           0.0023171,           0.0023171,           0.0023171
